imdb_id,title,year,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
0114709,Toy Story,1999,30.0,373.554033,81,7.7,5415,21.946943,1.0,862.0,Adventure|Animation|Comedy|Fantasy,John Lasseter,934.0,45.0,979.0,0120363|0435761|1850374|2033372|2340678|2446040|3473654|1979376|1016726,-0.6780647048173086,-0.3821364166897702
0113497,Jumanji,1996,65.0,262.797249,104,6.9,2413,17.015539,2.0,8844.0,Adventure|Fantasy,Joe Johnston,154.0,11.0,165.0,2283362|7975244,-0.3484114711159018,0.0316452378702983
0114885,Waiting to Exhale,1996,16.0,81.452156,127,6.1,34,3.859495,4.0,31357.0,Comedy|Drama,Forest Whitaker,53.0,5.0,58.0,N,0.67214806723225,-0.3875322149987495
0113277,Heat,1995,60.0,187.43681799990003,170,7.7,1886,17.924927,6.0,949.0,Action|Thriller,Michael Mann,224.0,19.0,243.0,2229525|0097700,-0.3482274355282309,-0.6929564923673299
0114576,Sudden Death,1981,35.0,64.350171,106,5.5,174,5.23158,9.0,9091.0,Action,Peter Hyams,28.0,6.0,34.0,1080478,0.6086811950255293,-0.1911472261151981
0113189,GoldenEye,1980,58.0,352.194034,130,6.6,1194,14.686035999999998,10.0,710.0,Action|Adventure|Thriller,Martin Campbell,496.0,30.0,526.0,0120347|0143145|0246460|0381061|0830515|1074638|2379713|2382320|0055928|0057076|0058150|0059800|0062512|0064757|0066995|0070328|0071807|0076752|0079574|0082398|0086034|0090264|0093428|0097742,0.1046212967607704,0.7691135951561111
0114681,To Die For,1995,20.0,21.284514,106,6.7,177,10.448481,45.0,577.0,Comedy|Drama|Thriller,Gus Van Sant,36.0,20.0,56.0,N,-0.1595304998635567,-0.7235833708786861
0113347,How To Make An American Quilt,1995,10.0,23.57413,116,6.5,38,4.485958,46.0,11861.0,Drama,Jocelyn Moorhouse,8.0,1.0,9.0,N,0.5140898784987986,0.4345404485101934
0114369,Se7en,1995,33.0,327.311859,127,8.1,5915,18.45743,47.0,807.0,Thriller,David Fincher,380.0,29.0,409.0,N,-0.2682819392073601,0.0410310524023938
0114148,Pocahontas,1995,55.0,346.079773,81,6.7,1509,13.280069000000001,48.0,10530.0,Animation|Drama|Musical,Mike Gabriel,348.0,4.0,352.0,0143808,0.1813230567115708,-0.6582331516129435
0112346,The American President,1977,62.0,107.879496,106,6.5,199,6.318445,11.0,9087.0,Comedy|Drama,Rob Reiner,38.0,7.0,45.0,N,-0.6375517885288369,-0.4428066391313435
0113987,Nixon,1970,44.0,13.681765,192,7.1,72,5.092,14.0,10858.0,Drama,Oliver Stone,46.0,7.0,53.0,N,0.3344665507653278,0.5012357091329881
0112760,Cutthroat Island,1995,98.0,10.017322,119,5.7,137,7.284477000000001,15.0,1408.0,Action|Adventure,Renny Harlin,42.0,1.0,43.0,N,0.4876114136038064,0.1454905576172732
0112641,Casino,1969,52.0,116.112375,178,7.8,1343,10.137389,16.0,524.0,Drama,Martin Scorsese,201.0,14.0,215.0,N,0.7712130390248191,-0.0484381229607157
0114388,Sense and Sensibility,1995,16.5,135.0,136,7.2,364,10.673167,17.0,4584.0,Drama,Ang Lee,71.0,1.0,72.0,N,0.1622637069988864,-0.7594296305515152
0113101,Four Rooms,1961,4.0,4.300000000000002,98,6.5,539,9.026586,18.0,5.0,Comedy,Allison Anders,31.0,19.0,50.0,N,-0.0631269106473823,0.5285638833793975
0112281,Ace Ventura: When Nature Calls,1995,30.0,212.385533,90,6.1,1128,8.205447999999999,19.0,9273.0,Comedy,Steve Oedekerk,71.0,26.0,97.0,0844029|0109040,-0.2131722056426621,0.5272580508202037
0113845,Money Train,1955,60.0,35.431113,103,5.4,224,7.337905999999999,20.0,11517.0,Action|Comedy|Drama|Thriller,Joseph Ruben,23.0,7.0,30.0,7286966,0.2580093991657613,-0.4279964867670493
0113161,Get Shorty,1955,30.25,115.10162199999999,105,6.4,305,12.669608,21.0,8012.0,Comedy|Thriller,Barry Sonnenfeld,63.0,19.0,82.0,0377471,0.3509850007871285,-0.6461072280828241
0112401,Assassins,1945,50.0,30.303071999999997,132,6.0,394,11.065939,23.0,9691.0,Action|Thriller,Richard Donner,13.0,2.0,15.0,N,0.5251866868171842,-0.5716600427777021
0113627,Leaving Las Vegas,1940,3.6,49.8,112,7.1,365,10.332025,25.0,451.0,Drama,Mike Figgis,97.0,7.0,104.0,N,0.6221505602115989,-0.4704742624851025
0114011,Now and Then,1936,12.0,27.4,100,6.6,91,8.681325,27.0,9263.0,Drama,Lesli Linka Glatter,8.0,13.0,21.0,N,0.2608230637948108,-0.7258802934057338
0112682,The City of Lost Children,1932,18.0,1.7386110000000001,108,7.6,308,9.822422999999999,29.0,902.0,Adventure|Drama|Fantasy|Sci-Fi,Jean-Pierre Jeunet,33.0,18.0,51.0,N,-0.4692215545925655,0.4106661087187144
